Br aaa
C#C aab
C#COC(=O)N[CH]Cl aac
C#N aad
C1=CC2NC(C=C1)C1C=CC2C=CN1 aae
C1=CCC2(CC1)OCCO2 aaf
C1=CCCC1 aag
C1=CCCCC1 aah
C1=CCNCC1 aai
C1=CCc2cc3c(cc2C1)CC3 aaj
C1=CNCCN=C1 aak
C1=COCCO1 aal
C1=CSc2nncn2N1 aam
C1=Cc2ccccc2C1 aan
C1=NC2c3ccccc3CC2O1 aao
C1=NCC=Nc2ccccc21 aap
C1=NCCCCC1 aaq
C1=NCCO1 aar
C1=NCCc2c1nc1ccccc21 aas
C1=NCCc2ccccc21 aat
C1=NCCn2cccc21 aau
C1=NCc2cncn2-c2ccccc21 aav
C1=Nc2cncnc2SC1 aaw
C1=Nn2cnnc2SC1 aax
C1=Nn2nncc2SC1 aay
C1C2CC3CC1CC(C2)C3 aaz
C1CC2(CCN1)NCCO2 aaA
C1CC2(CCN1)OCCO2 aaB
C1CC2C3CC1C2CN3 aaC
C1CC2C3CC1C2CO3 aaD
C1CC2CCC1C2 aaE
C1CCC2CNCCC2C1 aaF
C1CCC2NCCCC2C1 aaG
C1CCC2OCCNC2C1 aaH
C1CCCNCC1 aaI
C1CCNC1 aaJ
C1CCNCC1 aaK
C1CCc2sc3c(c2CC1)c1nnnn1c1nnnn31 aaL
C1CNC1 aaM
C1CNCC2(C1)CCNCC2 aaN
C1CNCCN1 aaO
C1CNCCNC1 aaP
C1CNCN1 aaQ
C1CNCNC1 aaR
C1COC2(CCC3CC4(CC3C2)OCCO4)O1 aaS
C1COCCN1 aaT
C=C1Cn2c(nc3nc(=O)nc(=O)c32)S1 aaU
C=C1[CH][CH]C[CH]1 aaV
CN(C)C(=O)N[SH](=O)=O aaW
CN(C)C(=O)O aaX
CN(C)C(=O)S aaY
CN(C)C([NH])=O aaZ
CN(C)C=O aba
CN(C)S(=O)(=O)O abb
CN(C)S([NH])(=O)=O abc
CN(C)[SH](=O)=O abd
CNC abe
CNC(=O)NC abf
CNC(=O)O abg
CNC([NH])=O abh
CNC=O abi
CNS(=O)(=O)OC abj
CNS(C)(=O)=O abk
CN[CH]NC(=O)OC abl
CN[SH](=O)=O abm
CO abn
COC(=O)NS(C)(=O)=O abo
COC(=O)O abp
COC([NH])=O abq
COC=O abr
CO[CH]NC(=O)OC abs
CO[CH]NC=O abt
CO[SH]=O abu
CS abv
CS(=O)(=O)NS(C)(=O)=O abw
CS(=O)(=O)O abx
CS([NH])(=O)=O aby
C[NH] abz
C[SH](=O)=O abA
C[SH]=O abB
Cl abC
ClC(Cl)Cl abD
F abE
FC(F)Br abF
FC(F)Cl abG
FC(F)F abH
FC(F)S abI
F[CH]Cl abJ
F[CH]F abK
N=C1N=C[CH]C=N1 abL
N=C1N[CH]NC(=N)N1 abM
N=CO abN
N=c1[nH]c2ccccc2[nH]1 abO
N=c1[nH]ncs1 abP
